City ST Country,Population (k),Elevation (m),Avg. Temp (C),High Temp (C),Low Temp (C),Rainfall (cm),Snowfall (cm),Rel. Humid (%),Wind (km/h),Continent,Lat (N/S),Lon (E/W)
Fortaleza CE Brazil,863,24,26.6,30.7,22.4,142.5,0,78.8,16,South America,-3.73,-38.53
Lake_Charles LA USA,74,0,20.1,32.9,5.6,142.3,0.5,77.1,12.6,North America,30.23,-93.22
Camaguey Cuba,301,132,25,31,18,142,0,74.5,17,Latin America,21.39,-77.91
Kilauea HI USA,3,58,23.9,29.2,18.6,142,0,75,20.9,North America,22.21,-159.41
Beaumont TX USA,118,1,20.2,33.7,5.4,141.6,0.5,76,13.7,North America,30.08,-94.13
Boone NC USA,19,1173,10.6,25.7,-4.2,141.3,90.9,69,11.1,North America,36.22,-81.67
Wahiawa HI USA,18,294,21.4,27.7,15.2,141.2,0,69,17.7,North America,21.50,-158.02
Cuiaba MG Brazil,580,189,26,33,16,141,0,72,5.4,South America,-15.60,-56.10
Panama_City FL USA,37,5,20,31,7,141,0,76.8,10.5,North America,30.16,-85.66
Kumasi Ghana,1723,292,26,29,22,140.2,0,78,6,Africa,6.67,-1.62
Zanzibar Tanzania,1304,15,26,32,22,140,0,78,9.6,Africa,-6.14,39.36
Hamilton Bermuda,65,33,22,30,15,140,0,73,20,North America,32.29,-64.79
San_Juan PR USA,340,0,26.8,31.6,21.4,139.8,0,77.1,12.4,North America,18.47,-66.11
Lakeland FL USA,101,43,22.6,32.8,9.8,139.2,0,72.5,8.9,North America,28.04,-81.95
Mbabane Swaziland,39,511,19.1,26.1,9.9,139.1,0,72,5.2,Africa,-26.31,31.14
Phnom_Penh Cambodia,2235,11,27,35,21,139,0,73,5.6,Asia,11.54,104.89
Matsuyama Japan,517,3,15,31,1,139,5,77,6.1,Asia,33.84,132.77
Campo_Grande MS Brazil,774,555,22.8,30.4,14.5,139,0,72.8,17,South America,-20.47,-54.62
Adak AK USA,1,3,5.1,14,-2.2,138.9,260.1,76,25,North America,51.88,-176.66
Cookeville TN USA,31,317,14.1,30.8,-2.9,138.8,21.6,74,8.8,North America,36.16,-85.50
Key_Largo FL USA,11,3,24.6,31.8,15.6,138.7,0,75.5,11,North America,25.09,-80.45
Arecibo PR USA,96,0,25.5,32.3,17.9,138.6,0,77,11,North America,18.44,-66.65
Teresina PI Brazil,768,99,27,36,20,138.4,0,76,3,South America,-5.09,-42.80
Rayong Thailand,674,4,28,32,21,138.3,0,75.5,12,Asia,12.68,101.28
Udon_Thani Thailand,153,181,27,35,16,138,0,68.5,6,Asia,17.41,102.79
Santo_Domingo DR,2925,14,26,30,21,138,0,85,8,Latin America,18.49,-69.93
Brazzaville Congo,1827,315,25,30,19,138,0,75,6,Africa,-4.26,15.24
Alesund Norway,45,21,7,15,1,138,4,74.5,19,Europe,62.47,6.15
Unalaska AK USA,4,3,5,15,-2,138,182,74.5,16.1,North America,53.88,-166.53
Huntsville AL USA,186,190,16.7,32.7,-0.1,137.9,6.1,71.2,12.1,North America,34.73,-86.59
Pelotas RS Brazil,306,13,17.8,28.8,8,137.9,0,79.8,16,South America,-31.77,-52.34
Valdosta GA USA,56,71,19.4,33,3.8,137.7,0,70.9,9.6,North America,30.83,-83.28
Gadsden AL USA,37,279,16.3,32.4,-0.8,137.7,1,70,7.3,North America,34.01,-86.01
Grass_Valley CA USA,13,801,12.2,31.3,-0.9,137.6,63,38,6.4,North America,39.22,-121.06
Dothan AL USA,68,114,19.2,33.3,3.2,137.2,0,70.4,12.1,North America,31.22,-85.39
Hot_Springs AR USA,36,163,17,34,1,137,9,68,14.2,North America,34.50,-93.06
Asuncion Paraguay,2827,100,23,32,13,137,0,72.1,14,South America,-25.26,-57.58
Changsha HN China,7044,67,17,32,3,137,0,80,12,Asia,28.23,112.94
Natal RN Brazil,804,52,26,31,21,137,0,79,14,South America,-5.78,-35.20
Aomori Japan,1383,3,10,27,-6,137,669,78,9,Asia,40.82,140.75
Birmingham AL USA,212,188,17.4,32.7,1,136.4,4.1,69.1,10.3,North America,33.52,-86.80
Cape_Coral FL USA,166,4,23.3,32.5,12.1,136.1,0,74,12.3,North America,26.56,-81.95
Ocala FL USA,57,24,21,33,8,136,0,73.5,7.7,North America,29.19,-82.14
Daejeon South_Korea,1552,78,12,30,-6,136,9,70,6.7,Asia,36.35,127.38
Kathmandu Nepal,1003,1336,18,26,4,136,3,81,9,Asia,27.72,85.32
Antananarivo Madagascar,1300,1275,18,25,10,136,0,73,14,Africa,-18.88,47.51
Jabalpur MP India,1082,392,25.2,41.3,9.3,135.9,0,62.5,4,Asia,23.18,79.99
Franklin NC USA,4,631,13.3,29.5,-3.5,135.7,17.3,67,3.8,North America,35.18,-83.38
Gainesville GA USA,36,340,15.4,30.9,-0.1,135.6,8.4,66.5,10.5,North America,34.30,-83.82
Neiva Colombia,379,495,27.7,34.6,22.1,135.4,0,80,4.5,South America,2.93,-75.28
Orlando FL USA,255,33,22.9,33.2,9.9,135.1,0,73,12.1,North America,28.54,-81.38
Sokode Togo,113,386,26,34,19,135,0,67,9,Africa,8.98,1.14
Puerto_Maldonado Peru,74,256,25,33,15,135,0,62,1.6,South America,-12.59,-69.20
Kisumu Kenya,259,1145,23,29,17,135,0,71.3,12,Africa,-0.09,34.77
Sao_Paulo SP Brazil,12038,802,20,28,12,135,0,78.8,12,South America,-23.55,-46.63
Montgomery AL USA,201,67,18.4,33.4,2.1,134.9,1,71.1,9.8,North America,32.37,-86.30
Imperatriz MA Brazil,235,123,26.3,34.4,19.4,134.7,0,74.9,5,South America,-5.52,-47.47
Chuncheon South_Korea,282,74,11,16,-8,134.7,6,69,8,Asia,37.88,127.73
Chetumal QR Mexico,151,9,26.6,32.9,18.5,134.1,0,82,4.5,Latin America,18.50,-88.30
Terrace BC Canada,11,217,6.6,21.4,-5,134.1,331.5,75.5,13.1,North America,54.52,-128.60
Nanning GX China,6914,72,22,32,10,134,0,77,8,Asia,22.61,108.17
Osaka Japan,2691,14,28,32,0,134,3,65.4,12,Asia,34.69,135.50
Florence AL USA,40,145,15,32.8,-0.8,133.7,12.7,76.9,13.2,North America,34.80,-87.68
Greenville MS USA,33,38,17.4,33.4,0.4,133.6,1.3,74,12.4,North America,33.40,-91.04
Chattanooga TN USA,173,204,16.1,32.3,-0.7,133.4,9.9,70.3,8.5,North America,35.05,-85.31
Jacksonville FL USA,843,7,20.3,33.3,5.2,133.1,0,77,10.9,North America,30.33,-81.66
Resistencia Argentina,292,52,21,33.5,10.1,133,0,76.3,8.1,South America,-27.45,-58.99
Jacksonville NC USA,70,7,17,31,1,133,0,72.6,11.3,North America,34.75,-77.43
Salzburg Austria,146,436,9,24.4,-4,133,112.5,73.2,8.6,Europe,47.81,13.06
Memphis TN USA,653,74,16.8,33.1,-0.2,132.8,11.7,66.3,13.2,North America,35.15,-90.05
Torrington CT USA,36,209,9.7,27.4,-10.4,132.8,118.9,68,9.1,North America,41.80,-73.12
Porto_Novo Benin,267,9,26,32,24,132.6,0,83,6.3,Africa,6.50,2.63
Gangneung South_Korea,230,27,11,28,-4,132.6,8,71,8.7,Asia,37.75,128.88
Acapulco GR Mexico,673,20,27.9,32.3,22,132.4,0,77.5,17,Latin America,16.85,-99.82
LaGrange GA USA,30,237,17.1,32.2,1.3,132.2,2,75.5,5.4,North America,33.04,-85.03
Dickson TN USA,15,250,14.8,31.9,-2.2,132.2,19.3,69,12.5,North America,36.08,-87.39
Lihue HI USA,7,31,23.1,28.7,16.7,132.1,0,74.8,21.6,North America,21.98,-159.37
Port_au_Prince Haiti,987,28,28,33,23,132,0,64,17,Latin America,18.59,-72.31
Oxford MS USA,21,135,17,33,1,132,8,72.5,5.2,North America,34.37,-89.52
Uruguaiana RS Brazil,116,62,19.7,32.1,9.9,132,0,70.6,7.4,South America,-29.76,-57.09
Palm_Bay FL USA,105,6,22,31,12,132,0,78,13.7,North America,28.03,-80.59
Porto_Alegre RS Brazil,1409,3,19.5,30.2,10.7,132,0,84,14,South America,-30.03,-51.22
Uberlandia MG Brazil,584,922,22,29,13,132,0,69,6.8,South America,-18.91,-48.28
Kristiansand Norway,87,16,7,21,-3,132,50.5,78,9.1,Europe,58.16,8.02
Tuscaloosa AL USA,95,51,17,33,1,131.8,2,69.5,8.5,North America,33.21,-87.57
Naples FL USA,21,2,23.9,32.9,12.3,131.8,0,74.5,11.1,North America,26.14,-81.79
Bishop CA USA,4,1256,13.6,36.9,-5.5,131.6,17.3,37.1,12.1,North America,37.36,-118.40
Spring_Hill FL USA,99,1,21.4,33,6.8,131.5,0,76.5,9,North America,28.48,-82.54
Kobe Japan,1536,59,16,30,2,131.5,3,66,14,Asia,34.69,135.20
Jos Nigeria,900,1284,22,26,18,131.5,0,54.5,6.2,Africa,9.90,8.86
Halifax NS Canada,390,145,6,22,-10,131.4,154.2,79,17,North America,44.65,-63.58
Belle_Glade FL USA,18,5,23.1,33.7,9.9,131.3,0,75,8.8,North America,26.68,-80.67
Nha_Trang Vietnam,402,10,27,31,21,131,0,81.7,12,Asia,12.24,109.20
Cotonou Benin,779,9,27,31,23,130.8,0,82.5,17,Africa,6.37,2.39
Olympia WA USA,48,58,10.6,25.8,0.2,130.7,29.7,71,9.8,North America,47.04,-122.90
Shreveport LA USA,200,77,18.7,34.5,2.3,130.6,2.5,70.5,11.9,North America,32.53,-93.75
Monroe LA USA,50,23,17,33,2,130.6,1.3,73,9.7,North America,32.51,-92.12
Myrtle_Beach SC USA,29,10,17,31.1,1.1,130.6,2,72.9,11.3,North America,33.69,-78.89
Pahala HI USA,2,274,21.8,28.1,15.7,130.3,0,78,10.4,North America,19.20,-155.48
Norwich CT USA,40,48,10.4,16.3,-7.6,130.2,57.1,72.5,14.3,North America,41.52,-72.08
Quanzhou FJ China,8129,15,21.3,33,9,130,0,78,10.4,Asia,24.90,118.60
Cancun QR Mexico,628,9,27.3,32,19.9,130,0,79,14,Latin America,21.16,-86.85
Rome GA USA,36,196,15,32,0,130,4,72,6.4,North America,34.26,-85.16
Tauranga NZ,118,3,14.4,23.7,5.1,130,0,75,15.4,Oceania,-37.69,176.17
Valencia Venezuela,918,459,24.1,33,19,129.7,0,76,7.5,South America,10.16,-68.00
Kill_Devil_Hills NC USA,7,0,16.7,30.6,2.1,129.6,3,75,10.4,North America,36.03,-75.68
Saint_John NB Canada,68,109,5.2,22.6,-13.3,129.6,239.6,74.3,15.2,North America,45.27,-66.06
Charleston SC USA,128,12,18.8,32.8,3.1,129.5,1.3,73.6,12.9,North America,32.78,-79.93
Takoradi Ghana,445,19,26.1,31,23,129.2,0,86.4,5.7,Africa,4.90,-1.78
Galveston TX USA,49,2,21.8,32.4,9.2,129,0.2,76.5,17.5,North America,29.30,-94.80
Brunswick GA USA,16,7,19,32,5,129,0,70,10.3,North America,31.15,-81.49
Kutaisi Georgia,197,116,15,28,3,129,2,72,3.1,Middle East,42.27,42.72
Corner_Brook NL Canada,19,5,5.2,22,-9.6,128.6,401.3,81,6.6,North America,48.95,-57.95
Sheffield England UK,552,132,8,21.1,1.7,128.6,5,79,10.1,Europe,53.38,-1.47
Dire Mali,111,207,27.6,39,20,128.5,0,56,5,Africa,16.27,-3.40
Butembo DRC,670,1729,16.6,25,13,128.4,0,81.4,5.2,Africa,0.11,29.30
Podgorica Montenegro,186,53,15,33,2,128,0,61,6,Europe,42.43,19.26
Montego_Bay Jamaica,110,3,26,31,22,128,0,80.8,22,Latin America,18.48,-77.89
Nassau Bahamas,244,7,25,31,17,128,0,77.5,14,Latin America,25.05,-77.36
Concepcion Chile,224,15,12,21,6,128,0,79.6,25,South America,-36.82,-73.04
Murfreesboro TN USA,117,169,15,31.8,-1.8,127.9,14.5,69,10.9,North America,35.85,-86.39
Gwangju South_Korea,1467,70,12,30,-4,127.5,8,68.8,7,Asia,35.16,126.85
Guatemala_City Guatemala,1022,1498,19,25,12,127.5,0,75,19,Latin America,14.63,-90.51
Stamford CT USA,126,79,10.6,29.2,-7.5,127.1,84.8,71,12.6,North America,41.05,-73.54
Jaffna Sri_Lanka,88,10,27,32,22,127,0,79,12,Asia,9.66,80.03
Salto Uruguay,104,34,18.1,31.5,7.2,127,0,72,12.5,South America,-31.39,-57.96
Maturin Venezuela,445,65,27,31,23,127,0,71.7,12,South America,9.73,-63.19
Kasama Zambia,113,1385,20,30,10,127,0,64,7.2,Africa,-10.23,31.19
Somerset KY USA,11,316,13.2,30.2,-4.1,126.7,25.9,73.5,7.2,North America,37.09,-84.60
Houston TX USA,2196,29,21.1,34.7,6.2,126.5,0.3,74.1,12.2,North America,29.76,-95.37
Little_Rock AR USA,197,78,17.1,33.7,-0.4,126.5,8.9,69.6,11.4,North America,34.75,-92.29
Altoona PA USA,46,444,8.4,25.9,-9.4,126.3,94.5,74,12.1,North America,40.52,-78.39
Atlanta GA USA,448,307,17,31.7,1.3,126.2,7.4,67.4,13.8,North America,33.75,-84.39
Chennai TN India,7088,15,28.5,37.4,20.4,126,0,75,9,Asia,13.08,80.27
Daytona_Beach FL USA,62,8,21.6,32.3,8.5,126,0,76.1,11.7,North America,29.21,-81.02
Pointe_Noire Congo,715,17,25,29,20,126,0,79.5,12,Africa,-4.77,11.87
Tepic NA Mexico,333,935,20,30,7.6,125.5,0,71,4.4,Latin America,21.50,-104.89
Porto Portugal,230,72,14.7,25,5,125.4,0,81.7,14,Europe,41.16,-8.63
San_Cristobal Venezuela,271,893,21.1,26.2,14.2,125.2,0,79.8,38.5,South America,7.77,-72.23
Kitwe Zambia,504,1225,20.4,31.6,5.2,125.1,0,65,4.7,Africa,-12.82,28.22
Formosa Argentina,258,67,22,35,12,125,0,74,14.3,South America,-26.19,-58.18
Tirana Albania,418,73,15,32,2,125,1,76,6,Europe,41.33,19.82
Greenville SC USA,61,290,15.7,31.6,-0.5,125,13.2,67.2,11.1,North America,34.85,-82.39
Stavanger Norway,128,9,7.5,17.6,-1.4,125,5,77,17,Europe,58.97,5.73
Jackson MS USA,173,92,18.4,33.8,2.8,124.9,3.6,73.1,10.1,North America,32.30,-90.18
Saint_Gallen Switzerland,74,776,7.4,20.5,-3.8,124.8,198.2,79.6,7.2,Europe,47.42,9.38
Djougou Benin,237,442,26.6,36.5,20.6,124.6,0,62.6,6.4,Africa,9.71,1.67
Lufkin TX USA,36,87,19.3,34.5,3.5,124.5,0.3,72,10.3,North America,31.34,-94.73
Poplar_Bluff MO USA,18,100,14.5,32.1,-2.9,124,22,69,10.5,North America,36.76,-90.39
Tacuarembo Uruguay,55,74,17.7,30.9,7,124,0,74,12.1,South America,-31.72,-55.99
Albany GA USA,76,59,19.4,33.8,3.3,123.4,0,74,9.9,North America,31.58,-84.16
Ibadan Nigeria,3160,227,26,30,23,123.3,0,79.5,4.3,Africa,7.38,3.95
El_Dorado AR USA,18,76,16,33,1,123.2,3.3,74.2,8.6,North America,33.21,-92.67
Greenville NC USA,90,7,16,32,1,123,3,73,8.8,North America,35.61,-77.37
Abidjan Ivory_Coast,4765,7,26,30,24,123,0,90.4,8,Africa,5.36,-4.01
Santa_Cruz Bolivia,1450,413,23,30,16,123,0,70.4,25,South America,-17.81,-63.16
Arusha Tanzania,416,1386,17,28,8,123,0,75,7,Africa,-3.39,36.68
Toms_River NJ USA,92,0,11.6,29.7,-5.8,122.7,39.1,64,10.4,North America,39.95,-74.20
Jonesboro AR USA,72,80,15.6,32.7,-1.8,122.2,16,67,12.4,North America,35.84,-90.70
Nashville TN USA,679,173,15.3,32.1,-1.9,122.2,24.6,67.5,11.7,North America,36.16,-86.78
Bowling_Green KY USA,61,164,14,32,-2,122.2,0.8,72,11.2,North America,36.97,-86.48
Moundou Chad,138,427,27,41,14,122,0,62,5.3,Africa,8.59,16.08
Texarkana AR USA,66,118,18,35,2,122,4,71.8,11.2,North America,33.44,-94.04
Lubumbashi DRC,1794,1286,20,32,6,122,0,67,6,Africa,-11.69,27.50
George_Town Grand_Cayman,29,3,27,30,22,122,0,79.6,14,Latin America,19.29,-81.37
Wellington NZ,204,128,12.9,20.6,6.3,122,0,77.9,19.2,Oceania,-41.29,174.78
Savannah GA USA,143,14,19.3,33.6,3.7,121.9,0.8,74.1,11.1,North America,32.08,-81.10
Zonguldak Turkey,109,135,13,23,3,121.7,1,72,10,Middle East,41.45,31.79
New_Haven CT USA,131,4,12,29.9,-4.8,121.6,15.8,72,12.9,North America,41.31,-72.93
Barnstable MA USA,45,15,10.3,26.6,-5.4,121.2,91,77,15.6,North America,41.70,-70.30
Kampala Uganda,1189,1140,20,26.1,17.8,121.2,0,58,4.8,Africa,0.35,32.58
San_Pedro_Sula Honduras,489,31,27,33,20,121,0,79,16,Latin America,15.51,-87.99
Waycross GA USA,14,43,19,33,5,121,0,73,8.9,North America,31.21,-82.35
Guiyang GZ China,2955,1071,16,28,2,121,0,76,7.7,Asia,22.96,113.41
Addis_Ababa Ethiopia,3104,2354,16,22,10,121,0,67,17,Africa,8.98,38.76
Brest France,141,103,11.5,20.8,4.1,121,4,83,16,Europe,48.39,-4.49
Bloomington IN USA,83,256,11.7,29.1,-6.4,120.9,49,71,11.4,North America,39.17,-86.53
Managua Nicaragua,2206,49,27,33,21,120.4,0,73,8,Latin America,12.11,-86.24
Paducah KY USA,25,117,14.1,32.4,-4.4,120.4,22.9,70.7,11.4,North America,37.08,-88.60
Westerly RI USA,19,25,10.1,26.3,-6.2,120.4,76.2,71,11.4,North America,41.38,-71.83
Knoxville TN USA,183,283,15.1,31.1,-0.9,120.3,24.4,70.9,9.7,North America,35.96,-83.92
Dessie Ethiopia,579,2498,15.2,25,7,120.2,0,61,6,Africa,11.13,39.64
Gainesville FL USA,127,42,20.5,32.7,5.7,120.1,0,76.2,10,North America,29.65,-82.32
Chiang_Mai Thailand,148,313,26,36,14,120,0,72.9,8,Asia,18.71,98.98
Wuhan HB China,6886,22,17,32,1,120,6,76.5,12,Asia,30.58,114.29
Quito Ecuador,2671,2811,14,20,9,120,0,75,12,South America,-0.18,-78.47
Hana HI USA,2,65,22.8,28.8,17,119.7,0,79,19.3,North America,20.76,-155.99
Fayetteville NC USA,204,26,16.4,32.3,-0.1,119.6,7.1,71,11.3,North America,35.05,-78.88
London KY USA,8,366,13.7,30.2,-3.1,119.6,26.2,71,8.3,North America,37.13,-84.08
Bilbao Spain,347,34,14.3,25.5,4.7,119.5,0,72,14,Europe,43.26,-2.93
Elizabethtown KY USA,30,24,13.2,31.4,-4.3,119.4,28.2,74,8.9,North America,37.70,-85.86
Winston_Salem NC USA,236,294,15.3,31.4,-1.1,119.1,15.2,64.6,9.3,North America,36.10,-80.24
Ioannina Greece,168,484,15,33,1,119,2,70,4.9,Europe,39.67,20.85
Zamboanga Philippines,807,6,28,32,23,119,0,83,9,Asia,6.92,122.08
Brisbane QLD Australia,2309,3,20,28,9,119,0,72.5,14,Oceania,-27.47,153.03
Taupo NZ,24,472,12.2,23.6,2.1,119,1,81,5,Oceania,-38.69,176.07
Temuco Chile,265,120,12,22,4,119,0,76,14,South America,-38.74,-72.59
Muskogee OK USA,39,185,15.8,33.8,-2.6,118.9,17,66,14.5,North America,35.75,-95.37
Columbus GA USA,203,136,18.7,33.4,2.7,118.9,1,66.9,10,North America,32.46,-84.99
Havana Cuba,2105,59,25,31,17,118.9,0,79.5,17,Latin America,23.11,-82.37
Vancouver BC Canada,604,2,10.4,22.2,0.8,118.9,38.1,78.1,12.2,North America,49.28,-123.12
Charlottetown PE Canada,36,55,5.9,23.4,-11.8,118.7,266.3,74,15.5,North America,46.24,-63.13
Queensbury NY USA,28,153,7.4,28.6,-14.7,118.6,153.4,76,9.1,North America,43.35,-73.68
Tyler TX USA,100,165,18.7,34.4,2.4,118.4,3.3,71,12.6,North America,32.35,-95.30
Sapporo Japan,1918,10,8,25,-8,118.1,597,70.8,20,Asia,43.06,141.35
Xiamen FJ China,3531,139,20,32,10,118,0,76.5,9.7,Asia,24.51,118.09
Elizabeth_City NC USA,18,4,15,31,1,118,8,74,14.2,North America,36.29,-76.25
Jervis_Bay ACT Australia,1,109,16,26,6,118,0,65,19,Oceania,-35.05,150.74
Nakuru Kenya,286,2762,13,20,7,118,0,65,5.6,Africa,-0.30,36.08
Hickory NC USA,40,347,14,31,0,117.8,1.5,70,9.2,North America,35.73,-81.34
Athens GA USA,120,244,17,33,0.6,117.6,7.4,69,10.1,North America,33.95,-83.36
Tampa FL USA,353,5,23,32.3,10.9,117.6,0,73.9,11.4,North America,27.95,-82.46
Newark NJ USA,278,9,12.7,30,-4.2,117.6,72.4,62.2,16.3,North America,40.74,-74.17
Bucaramanga Colombia,522,1027,21.9,25.8,18.2,117.6,0,82,2.9,South America,7.12,-73.12
Islip NY USA,336,25,11.3,27.6,-4.8,117.4,63,69.4,14.8,North America,40.73,-73.21
Eugene OR USA,159,110,11.4,28.2,1,117.1,12.4,77.7,11.6,North America,44.05,-123.09
Luzern Switzerland,79,454,8.7,23.5,-3.1,117.1,66,77.9,5,Europe,47.05,8.31
Nagpur MH India,2406,309,26.9,42.5,12.1,117,0,58.5,8,Asia,21.15,79.09
Port_Moresby Papua_New_Guinea,400,35,27,31,21,117,0,79.5,16,Oceania,-9.48,147.15
Poughkeepsie NY USA,31,50,10,29.1,-7.9,116.9,110,75,8.9,North America,41.70,-73.92
Corvallis OR USA,55,74,11.2,27.3,1,116.6,14.5,63,10.1,North America,44.56,-123.26
Elkins WV USA,7,603,10.2,27.2,-7,116.6,212.1,69.5,9.7,North America,38.93,-79.85
Providence RI USA,178,2,10.5,27.9,-6.2,116.3,90.2,67.6,15.4,North America,41.82,-71.41
Eastport ME USA,2,20,6.8,23.4,-10.2,116.3,146.8,80,7.3,North America,44.91,-66.99
Macon GA USA,90,110,18.1,33.7,1.6,116.1,1.8,71.2,10,North America,32.84,-83.63
Kengtung Myanmar,367,827,22,33,10,116,0,67,7,Asia,21.28,99.62
Phan_Thiet Vietnam,335,11,26,32,20,116,0,80,8.6,Asia,10.98,108.26
Athens TN USA,14,254,15,31,0,116,26,69,8.8,North America,35.44,-84.59
Springfield MO USA,164,386,13.5,31.7,-5.3,115.8,43.2,70.2,14.8,North America,37.21,-93.29
Reading PA USA,88,99,10.5,29.3,-7.4,115.8,75.4,67.5,10.7,North America,40.34,-75.93
Asheville NC USA,87,682,13.3,28.9,-2.9,115.8,25.1,68.5,10.9,North America,35.60,-82.55
Henderson NC USA,15,116,14.8,31.5,-2.1,115.7,17,67.5,9,North America,36.33,-78.40
San_Salvador Argentina,238,72,18.4,28,6,115.7,0,72.8,10.4,South America,-24.19,-65.30
Abuja Nigeria,2440,360,23,37,19,115.6,0,82.2,4.5,Africa,9.08,7.40
Fort_Smith AR USA,88,136,16.5,34.1,-1.7,115.6,12.4,69.7,11.6,North America,35.39,-94.40
Allentown PA USA,119,118,10.7,29,-6.9,115.3,83.6,67.6,12.7,North America,40.61,-75.49
Trenton NJ USA,84,6,12.2,29.6,-4.9,115.1,57.4,64.8,12.3,North America,40.22,-74.74
Townsville QLD Australia,172,4,24,31,13,115,0,70,16,Oceania,-19.26,146.82
Fayetteville AR USA,79,381,14,31,-3,115,21,69.5,10.8,North America,36.08,-94.17
Hakodate Japan,279,35,8,25,-6,115,378,74.5,12,Asia,41.77,140.73
Auckland NZ,1495,6,15.5,24.1,7.5,115,0,80.4,17.8,Oceania,-36.85,174.76
Parakou Benin,207,392,26,35,19,114.9,0,63,8,Africa,9.35,2.61
Hartford CT USA,125,55,10.1,29.2,-8.3,114.9,123.4,66.7,12.6,North America,41.76,-72.69
Lexington KY USA,308,294,13.1,30.1,-3.9,114.8,33,70.8,12.9,North America,38.04,-84.50
Salisbury NC USA,34,233,15.6,32.1,-0.9,114.6,14.5,68,7.3,North America,35.67,-80.47
Burlington NC USA,52,194,14.9,31.6,-2,114.6,19,70,8.9,North America,36.10,-79.44
Louisville KY USA,613,145,14.6,31.5,-2.9,114.1,31.8,67.3,12.7,North America,38.25,-85.76
Johnson_City TN USA,65,529,13.6,29.7,-2.9,114.1,20.8,74,5.6,North America,36.31,-82.35
Sarh Chad,103,365,28,40,16,114,0,46,5.5,Africa,9.14,18.37
Shanghai SH China,24257,7,16,31,1,114,1,78,12,Asia,31.24,121.49
Greenwood SC USA,23,192,16.5,32.6,0.4,113.5,5,69,9,North America,34.20,-82.16
Dover DE USA,38,7,13.4,30.6,-3,113.5,45.7,73,12.9,North America,39.16,-75.52
New_York NY USA,8406,39,13.1,29.6,-3,113.5,68.3,69,18.8,North America,40.71,-74.01
Gondar Ethiopia,207,2194,19.7,29,11,113.5,0,52.6,6.2,Africa,12.60,37.45
Zurich Switzerland,379,569,9.3,24,-2,113.4,85,77.6,7.6,Europe,47.38,8.54
Poza_Rica VE Mexico,185,50,25,34.7,14.4,113.3,0,78,5.9,Latin America,20.53,-97.46
Columbia SC USA,133,64,17.7,33.7,0.9,113.3,3.8,68.1,10.3,North America,34.00,-81.03
Carbondale IL USA,26,125,13.6,31.4,-4.2,113.3,27.9,72,11.2,North America,37.73,-89.22
Owensboro KY USA,58,124,13,31,-3,113.3,15,71,10.6,North America,37.77,-87.11
Newton NJ USA,8,221,9.4,28.8,-8.7,113.2,101.3,68,5.6,North America,41.06,-74.75
Chanute KS USA,9,305,13.7,32.3,-5.7,113,35,67,16.9,North America,37.68,-95.46
Statesboro GA USA,30,56,17,32,3,113,1,72,5.3,North America,32.45,-81.78
Santiago_de_Cuba Cuba,431,54,26,30,21,113,0,80.5,19,Latin America,20.02,-75.83
Malanje Angola,157,1168,21,30,9,113,0,67,5.4,Africa,-9.54,16.33
Lankaran Azerbaijan,233,-10,14,30,0,113,10,83,5.6,Middle East,38.75,48.85
Sendai Japan,1046,1,11,27,-4,113,71,77,7.6,Asia,38.27,140.87
Hanga_Roa Easter_Island,3,46,21,26,16,113,0,80,16,South America,-27.15,-109.43
Wollongong NSW Australia,296,30,17,26,7.9,113,0,69,10.6,Oceania,-34.43,150.89
Sydney NSW Australia,4921,6,17,26,7,113,0,69.5,17,Oceania,-33.87,151.21
Newcastle NSW Australia,308,33,17,25.6,8.3,113,0,70,6.5,Oceania,-32.93,151.78
Quebec_City QC Canada,517,72,4,24,-16,113,303.4,70,16,North America,46.81,-71.21
Patna BR India,2047,60,25.5,38.4,9.3,112.8,0,72.5,8,Asia,25.59,85.14
Danville VA USA,43,177,14.7,31.1,-1.7,112.8,24,71,9.9,North America,36.59,-79.40
Yamoussoukro Ivory_Coast,107,213,26,33,20,112.6,0,77.5,9,Africa,6.83,-5.29
Virginia_Beach VA USA,448,6,15.5,30.9,-0.1,112.5,17.8,70.1,16.2,North America,36.85,-75.98
Mykonos Greece,10,9,16.9,30,6.1,112.4,0,70,11.6,Europe,37.45,25.33
Moncton NB Canada,139,70,6.1,25.3,-13.1,112.4,282,78,5.2,North America,46.09,-64.78
Columbus IN USA,45,186,11.9,29.8,-6.3,112.3,41.4,73,12.6,North America,39.20,-85.92
Mansfield OH USA,46,395,9.7,27.6,-7.6,112.3,122.7,73.5,16.4,North America,40.76,-82.52
Portland ME USA,66,2,7.6,25.7,-10.4,112.2,181.4,69.9,13,North America,43.66,-70.26
Paris TX USA,25,177,17.7,35.1,-0.2,112,6.6,69,14.5,North America,33.66,-95.56
Mombasa Kenya,915,54,26,31,21,112,0,79,16,Africa,-4.04,39.67
Nantucket MA USA,10,14,9,23,-2,112,80,83,16.2,North America,41.28,-70.10
Sept_Iles QC Canada,25,54,1,19.5,-20.8,112,384.6,80,14.2,North America,50.21,-66.38
Brasov Romania,276,2503,4,9,-13,112,15,87,4.3,Europe,45.66,25.60
Surat GJ India,4462,11,27.6,37.2,14.7,111.7,0,65.5,6,Asia,21.17,72.83
Lausanne Switzerland,130,456,10,24.2,-0.5,111.6,35.1,71.7,6.5,Europe,46.52,6.63
